#frame,fps
0,292.6946
1,134.1022
2,98.37158
3,82.36796
4,70.0626
5,60.15976
6,55.77545
7,49.9847
8,45.96877
9,43.0124
10,41.44477
11,40.30429
12,38.50407
13,37.85138
14,36.13198
15,35.5225
16,35.34686
17,34.14931
18,32.57787
19,32.41835
20,30.93793
21,30.19064
22,29.52571
23,29.71286
24,29.72333
25,29.25154
26,28.58197
27,28.88278
28,28.94279
29,28.92463
30,28.61559
31,28.43421
32,28.69836
33,28.83304
34,28.63383
35,28.66745
36,28.33832
37,28.66887
38,28.9071
39,28.62235
40,29.18059
41,29.08705
42,29.54516
43,30.16367
44,29.93396
45,30.3514
46,30.12572
47,28.60182
48,27.61706
49,28.08445
50,28.13182
51,28.29228
52,28.68276
53,29.27587
54,29.8285
55,29.87644
56,29.6432
57,30.1911
58,30.68123
59,31.23228
60,29.23064
61,29.59208
62,30.0886
63,30.47277
64,31.04429
65,30.28775
66,30.52546
67,30.91532
68,31.46876
69,31.17585
70,30.66571
71,30.99654
72,31.2724
73,30.40644
74,29.80801
75,29.69349
76,30.04987
77,29.68753
78,30.13557
79,30.54136
80,30.33799
81,30.10345
82,30.34544
83,30.75936
84,31.04803
85,30.01893
86,30.39855
87,30.71167
88,30.80551
89,31.19228
90,30.12738
91,30.49773
92,30.87034
93,30.442
94,30.7644
95,30.52017
96,30.65219
97,31.19452
98,30.36319
99,29.17468
100,28.78099
101,28.96853
102,29.39592
103,29.15148
104,29.36326
105,29.19823
106,29.53852
107,29.48734
108,29.89727
109,30.36607
110,30.19677
111,30.04303
112,30.34591
113,30.75244
114,31.13016
115,30.31783
116,30.64938
117,31.19892
118,31.68617
119,32.07014
120,31.12305
121,31.45924
122,31.75677
123,32.02882
124,32.33687
125,31.43739
126,31.93141
127,32.40561
128,32.57189
129,32.23624
130,31.87624
131,32.10537
132,32.3569
133,33.08114
134,33.01413
135,32.50817
136,31.50489
137,31.84909
138,32.41792
139,32.18582
140,32.66078
141,32.47362
142,32.91063
143,33.58046
144,33.38374
145,33.87049
146,34.24801
147,34.01601
148,33.87319
149,33.95084
150,34.42489
151,34.97493
152,35.62993
153,34.61124
154,35.10057
155,35.31234
156,35.93262
157,35.33363
158,35.81952
159,35.68629
160,36.02343
161,36.50169
162,35.95819
163,36.36081
164,36.9598
165,36.48484
166,37.05561
167,36.85761
168,36.77569
169,37.17971
170,37.81792
171,37.24432
172,35.22885
173,35.52322
174,36.34242
175,36.77692
176,37.41754
177,36.36898
178,36.93281
179,37.60213
180,38.44968
181,39.19064
182,38.35881
183,37.92233
184,38.6867
185,39.37076
186,39.1732
187,39.5009
188,39.50882
189,40.24138
190,39.90766
191,39.50815
192,39.8702
193,40.19344
194,40.85418
195,41.48014
196,41.16121
197,40.44545
198,41.21133
199,41.49289
200,42.00865
201,41.65332
202,41.8868
203,42.55091
204,41.46237
205,42.00454
206,41.66069
207,42.29102
208,42.66495
209,43.23973
210,43.82695
211,39.34353
212,40.20329
213,40.84921
214,41.15789
215,41.90082
216,41.67451
217,40.84534
218,41.60629
219,41.78596
220,42.50138
221,42.30088
